Codigo Articulo,cuadrante,clase_abc,nivel_servicio,stock_actual,rop,demanda_esperada_lt,ss_empirico,mu_incondicional,mu_sba,adi,cv2,n_pos,n_semanas_historia,weeks_history,cajas_a_pedir,unidades_a_pedir,cbm_total_pedido,inversion_fob_usd,costo_final,cantidad_por_caja,CBMM,estado,requiere_pedido
MASS1656,lumpy,A,0.95,361.0,155.2999999999998,91.89075630252096,63.40924369747886,6.126050420168064,6.126050420168064,1.526,1.4959,78,119,118.14285714285714,0,0,0.0,0.0,3.5,60.0,0.05,OK,False
MASS0058,lumpy,A,0.95,1.0,128.0,74.5774647887324,53.4225352112676,4.971830985915493,4.971830985915493,1.919,1.3044,74,142,141.28571428571428,3,90,0.38976,180.0,2.0,30.0,0.12992,REORDENAR,True
MASS1352,lumpy,A,0.95,0.0,94.14999999999998,42.75528169014085,51.39471830985913,2.8503521126760565,2.8503521126760565,2.367,8.1306,60,142,141.28571428571428,38,38,1.9000000000000001,38.0,1.0,1.0,0.05,REORDENAR,True
MASS0061,lumpy,A,0.95,83.0,134.63999999999993,80.0070422535211,54.63295774647883,5.333802816901407,5.333802816901407,1.945,1.8491,73,142,141.28571428571428,4,80,0.564096,196.0,2.45,20.0,0.141024,REORDENAR,True
MASS1620,lumpy,A,0.95,0.0,115.89999999999992,67.52399999999999,48.375999999999934,4.501599999999999,4.501599999999999,2.315,3.8923,54,125,123.85714285714286,4,64,0.47445024,544.0,8.5,16.0,0.11861256,REORDENAR,True
MASS2469,lumpy,A,0.95,1032.0,427.08,427.08,0.0,28.471999999999998,28.471999999999998,3.125,1.5824,8,25,23.857142857142858,0,0,0.0,0.0,0.65,270.0,0.05,OK,False
MASS0609,lumpy,A,0.95,13.0,129.16,76.63829787234043,52.52170212765957,5.109219858156028,5.109219858156028,2.043,1.0249,69,141,140.28571428571428,1,100,0.061152,240.0,2.4,100.0,0.061152,REORDENAR,True
MASS0158,lumpy,A,0.95,120.0,133.0,76.05633802816902,56.94366197183098,5.070422535211268,5.070422535211268,2.328,2.4211,61,142,141.28571428571428,66,66,3.3000000000000003,221.1,3.35,1.0,0.05,REORDENAR,True
MASS1413,lumpy,A,0.95,0.0,121.0,75.3478260869565,45.6521739130435,5.0231884057971,5.0231884057971,7.263,1.293,19,138,137.42857142857142,66,66,3.3000000000000003,66.0,1.0,1.0,0.05,REORDENAR,True
MASS1064,lumpy,A,0.95,0.0,117.55999999999995,77.81954887218045,39.740451127819505,5.1879699248120295,5.1879699248120295,1.583,1.2284,84,133,132.71428571428572,1,100,0.310464,265.0,2.65,100.0,0.310464,REORDENAR,True
MASS0289,lumpy,A,0.95,38.0,164.37999999999994,78.5281690140845,85.85183098591546,5.235211267605633,5.235211267605633,2.058,0.9881,69,142,141.28571428571428,4,80,0.2,312.0,3.9,20.0,0.05,REORDENAR,True
MASS1335,lumpy,A,0.95,0.0,119.0,73.40425531914893,45.59574468085107,4.8936170212765955,4.8936170212765955,2.35,2.518,60,141,140.42857142857142,6,72,0.477792,388.8,5.4,12.0,0.079632,REORDENAR,True
MASS0497,lumpy,A,0.95,215.0,120.80000000000001,77.87234042553192,42.927659574468095,5.191489361702128,5.191489361702128,1.762,0.6466,80,141,140.28571428571428,0,0,0.0,0.0,3.2,50.0,0.08064,OK,False
MASS1009,lumpy,A,0.95,106.0,167.59999999999997,80.18399999999998,87.41599999999998,5.345599999999999,5.345599999999999,1.786,1.2924,70,125,123.85714285714286,3,72,0.23191875,648.0,9.0,24.0,0.07730625,REORDENAR,True
MASS1661,lumpy,A,0.95,67.0,107.26000000000002,82.4873949579832,24.772605042016817,5.499159663865546,5.499159663865546,1.488,1.9765,80,119,117.85714285714286,1,400,0.025,72.0,0.18,400.0,0.025,REORDENAR,True
MASS0943,lumpy,A,0.95,223.0,110.89999999999998,71.42957746478872,39.470422535211256,4.761971830985915,4.761971830985915,2.254,1.3084,63,142,141.28571428571428,0,0,0.0,0.0,5.9,12.0,0.05,OK,False
MASS2294,erratic,A,0.95,1.0,368.9655231921896,281.92105263157896,87.04447056061063,18.794736842105262,18.794736842105262,1.31,0.6113,29,38,37.714285714285715,353,353,17.650000000000002,353.0,1.0,1.0,0.05,REORDENAR,True
MASS2477,lumpy,A,0.95,0.0,432.59999999999974,337.55999999999983,95.0399999999999,22.503999999999987,22.503999999999987,1.667,3.5713,15,25,23.857142857142858,19,304,0.9500000000000001,1155.2,3.8,16.0,0.05,REORDENAR,True
MASS2138,lumpy,A,0.95,23.0,263.6,202.94117647058823,60.65882352941176,13.529411764705882,13.529411764705882,1.645,1.0323,31,51,50.42857142857143,176,176,1.056,651.2,3.7,1.0,0.006,REORDENAR,True
MASS2142,erratic,A,0.95,126.0,267.8493343510636,198.82352941176472,69.02580493929888,13.254901960784315,13.254901960784315,1.133,0.7875,45,51,50.42857142857143,11,550,0.7755,880.0,1.6,50.0,0.0705,REORDENAR,True
MASS1865,lumpy,A,0.95,20.0,191.68,132.59154929577468,59.08845070422533,8.839436619718311,8.839436619718311,1.614,1.1414,44,71,69.85714285714286,1,120,0.11322675,96.0,0.8,120.0,0.11322675,REORDENAR,True
MASS1836,lumpy,A,0.95,82.0,204.0,105.74226804123711,98.25773195876289,7.049484536082474,7.049484536082474,2.939,0.7361,33,97,96.57142857142857,10,100,1.7496,500.0,5.0,10.0,0.17496,REORDENAR,True
MASS1477,lumpy,A,0.95,0.0,124.29999999999998,68.13333333333333,56.16666666666666,4.542222222222222,4.542222222222222,1.688,2.1189,80,135,134.57142857142858,3,60,0.24087,108.0,1.8,20.0,0.08029,REORDENAR,True
MASS0584,lumpy,A,0.95,39.0,108.80000000000001,65.74468085106383,43.05531914893618,4.382978723404255,4.382978723404255,1.72,1.1778,82,141,140.28571428571428,2,80,0.136,152.0,1.9,40.0,0.068,REORDENAR,True
MASS1794,lumpy,A,0.95,1.0,124.03999999999998,87.52941176470588,36.510588235294094,5.8352941176470585,5.8352941176470585,1.397,2.1852,73,102,101.71428571428571,4,80,0.25864,244.0,3.05,20.0,0.06466,REORDENAR,True
MASS1378,lumpy,A,0.95,99.0,125.3,65.80985915492954,59.49014084507046,4.387323943661969,4.387323943661969,2.491,1.4173,57,142,141.28571428571428,1,60,0.070296,306.0,5.1,60.0,0.070296,REORDENAR,True
MASS1823,lumpy,A,0.95,0.0,217.8999999999998,93.03260869565213,124.86739130434766,6.202173913043476,6.202173913043476,1.614,2.6906,57,92,91.14285714285714,1,100,0.0768,1000.0,10.0,100.0,0.0768,REORDENAR,True
MASS1358,lumpy,A,0.95,12.0,128.76999999999998,61.42934782608695,67.34065217391303,4.095289855072464,4.095289855072464,2.379,2.6517,58,138,137.42857142857142,1,100,0.134,128.0,1.28,100.0,0.134,REORDENAR,True
MASS0329,lumpy,A,0.95,326.0,150.3,66.65492957746478,83.64507042253521,4.443661971830986,4.443661971830986,2.328,1.1209,61,142,141.14285714285714,0,0,0.0,0.0,1.0,120.0,0.083968,OK,False
MASS0122,lumpy,A,0.95,113.0,106.89999999999999,67.00840336134452,39.89159663865547,4.467226890756302,4.467226890756302,1.919,4.0028,62,119,118.14285714285714,0,0,0.0,0.0,2.5,100.0,0.07930125,OK,False
MASS1644,lumpy,A,0.95,0.0,116.0,73.890756302521,42.109243697479,4.926050420168067,4.926050420168067,1.587,1.8228,75,119,117.85714285714286,1,96,0.074529,76.80000000000001,0.8,96.0,0.074529,REORDENAR,True
MASS0769,lumpy,A,0.95,0.0,100.99999999999987,57.85714285714281,43.14285714285706,3.857142857142854,3.857142857142854,2.09,3.4427,67,140,139.28571428571428,51,51,2.5500000000000003,51.0,1.0,1.0,0.05,REORDENAR,True
MASS2137,lumpy,A,0.95,76.0,262.79999999999995,192.55882352941177,70.24117647058821,12.837254901960785,12.837254901960785,1.594,1.1679,32,51,50.42857142857143,167,167,1.002,617.9,3.7,1.0,0.006,REORDENAR,True
MASS1125,lumpy,A,0.95,0.0,119.0,65.6619718309859,53.338028169014095,4.377464788732394,4.377464788732394,2.219,1.0405,64,142,141.28571428571428,2,80,0.13536,224.0,2.8,40.0,0.06768,REORDENAR,True
MASS2134,lumpy,A,0.95,679.0,386.7999999999999,193.4705882352941,193.3294117647058,12.898039215686273,12.898039215686273,1.545,1.8115,33,51,50.42857142857143,0,0,0.0,0.0,11.4,40.0,0.023896,OK,False
MASS1835,lumpy,A,0.95,38.0,225.59999999999994,81.12371134020617,144.47628865979377,5.408247422680412,5.408247422680412,2.939,4.1726,33,97,96.57142857142857,6,84,0.69513,197.4,2.35,14.0,0.115855,REORDENAR,True
MASS2139,lumpy,A,0.95,332.0,318.4,188.52941176470588,129.87058823529412,12.568627450980392,12.568627450980392,1.645,1.427,31,51,50.42857142857143,0,0,0.0,0.0,3.7,1.0,0.006,OK,False
MASS2140,erratic,A,0.95,126.0,248.87450204927478,184.86764705882354,64.00685499045125,12.324509803921568,12.324509803921568,1.159,0.7343,44,51,50.42857142857143,10,500,0.705,800.0,1.6,50.0,0.0705,REORDENAR,True
MASS0171,lumpy,A,0.95,0.0,116.0,73.23529411764707,42.76470588235293,4.882352941176471,4.882352941176471,1.566,1.7109,76,119,117.85714285714286,1,300,0.0722,255.0,0.85,300.0,0.0722,REORDENAR,True
MASS2211,erratic,A,0.95,44.0,326.1543778451135,224.28571428571428,101.86866355939925,14.952380952380953,14.952380952380953,1.312,1.9261,32,42,41.142857142857146,8,160,0.632016,3488.0,21.8,20.0,0.079002,REORDENAR,True
MASS1443,lumpy,A,0.95,0.0,117.18999999999997,65.47183098591549,51.71816901408448,4.3647887323943655,4.3647887323943655,2.219,2.0869,64,142,141.28571428571428,2,96,0.25281,172.8,1.8,48.0,0.126405,REORDENAR,True
MASS1549,lumpy,A,0.95,0.0,138.19999999999993,74.85599999999997,63.343999999999966,4.9903999999999975,4.9903999999999975,1.953,1.0911,64,125,123.85714285714286,1,220,0.09867,149.60000000000002,0.68,220.0,0.09867,REORDENAR,True
MASS0994,lumpy,A,0.95,0.0,134.14999999999995,64.79577464788733,69.35422535211262,4.319718309859155,4.319718309859155,2.088,1.7145,68,142,141.28571428571428,2,80,0.12558,176.0,2.2,40.0,0.06279,REORDENAR,True
MASS0237,lumpy,A,0.95,0.0,116.6,64.24647887323945,52.35352112676054,4.2830985915492965,4.2830985915492965,2.088,1.7224,68,142,141.42857142857142,56,56,2.8000000000000003,89.60000000000001,1.6,1.0,0.05,REORDENAR,True
MASS0607,lumpy,A,0.95,206.0,122.20000000000002,67.29787234042553,54.90212765957449,4.486524822695035,4.486524822695035,2.878,0.5972,49,141,140.28571428571428,0,0,0.0,0.0,9.5,96.0,0.0546,OK,False
MASS1421,lumpy,A,0.95,0.0,146.0,71.8014705882353,74.1985294117647,4.786764705882353,4.786764705882353,6.476,1.0223,21,136,135.28571428571428,63,63,3.1500000000000004,63.0,1.0,1.0,0.05,REORDENAR,True
MASS0407,lumpy,A,0.95,137.0,193.50000000000003,67.04255319148936,126.45744680851067,4.469503546099291,4.469503546099291,3.525,0.7322,40,141,140.28571428571428,1,100,0.05,235.0,2.35,100.0,0.05,REORDENAR,True
MASS1282,lumpy,A,0.95,1.0,154.4000000000002,57.180851063829785,97.21914893617043,3.8120567375886525,3.8120567375886525,8.812,2.0712,16,141,140.42857142857142,5,50,0.252,390.0,7.8,10.0,0.0504,REORDENAR,True
MASS0461,lumpy,A,0.95,1.0,172.57999999999998,68.42016806722687,104.1598319327731,4.561344537815125,4.561344537815125,1.919,2.9826,62,119,118.14285714285714,1,100,0.121512,188.0,1.88,100.0,0.121512,REORDENAR,True
MASS1786,lumpy,A,0.95,2.0,159.97999999999996,91.80612244897958,68.17387755102038,6.120408163265306,6.120408163265306,1.463,0.9999,67,98,97.14285714285714,1,100,0.55,200.0,2.0,100.0,0.55,REORDENAR,True
MASS0189,lumpy,A,0.95,108.0,135.99999999999994,70.15384615384613,65.84615384615381,4.676923076923075,4.676923076923075,2.653,1.694,49,130,129.42857142857142,1,300,0.120615,285.0,0.95,300.0,0.120615,REORDENAR,True
MASS0439,lumpy,A,0.95,0.0,134.89999999999995,64.22535211267605,70.6746478873239,4.28169014084507,4.28169014084507,3.838,2.6473,37,142,141.28571428571428,1,100,0.047089,240.0,2.4,100.0,0.047089,REORDENAR,True
MASS2056,lumpy,A,0.95,1.0,297.19999999999993,181.01999999999998,116.17999999999995,12.067999999999998,12.067999999999998,2.0,0.6853,25,50,48.857142857142854,157,157,0.35324999999999995,345.40000000000003,2.2,1.0,0.00225,REORDENAR,True
MASS1792,lumpy,A,0.95,0.0,170.69999999999993,91.0408163265306,79.65918367346934,6.06938775510204,6.06938775510204,1.661,1.3709,59,98,97.14285714285714,79,79,3.95,79.0,1.0,1.0,0.05,REORDENAR,True
MASS1806,lumpy,A,0.95,1.0,143.7499999999999,84.12499999999996,59.62499999999993,5.608333333333331,5.608333333333331,1.962,0.8733,52,102,101.71428571428571,2,100,0.1719747,680.0,6.8,50.0,0.08598735,REORDENAR,True
