sku,nombre,total_unidades_vendidas,total_transacciones,primera_venta,ultima_venta,excluido_intencional
MASS0437,RELOJ INTELIGENTE T200 PLUS SERIE 7 AZUL,1.0,1,2024-12-16 17:14:00,2024-12-16 17:14:00,False
MASS0371,PLUG ANAL TALLA L AMARILLO,1.0,1,2025-06-16 10:47:00,2025-06-16 10:47:00,False
MASS0360,PLANCHA DE CABELLO REMINGTON ORIGINAL S5520,1.0,1,2025-01-03 09:30:00,2025-01-03 09:30:00,False
MASS0268,LONCHERA ELECTRICA NARANJA,1.0,1,2024-12-14 13:28:00,2024-12-14 13:28:00,False
MASS0378,PLUG ANAL TALLA L COLORFUL,1.0,1,2025-04-29 11:53:00,2025-04-29 11:53:00,False
MASS1494,CORNETA LED G BT 2301,1.0,3,2025-01-15 08:11:00,2025-01-15 08:13:00,False
MASS0269,LONCHERA ELECTRICA VERDE,1.0,1,2024-12-14 13:28:00,2024-12-14 13:28:00,False
MASS0196,DISCO DURO SOLIDO KINGSTON 120GB,1.0,1,2025-01-03 09:30:00,2025-01-03 09:30:00,False
MASS0206,ESMERIL 6-AMP 4-1/2-INCH HYPER TOUGH,1.0,3,2025-10-08 07:26:00,2026-08-22 10:13:00,False
MASS2798,BALON DE FÚTBOL CHAMPIONS MULTICOLOR,1.0,1,2026-08-18 09:36:00,2026-08-18 09:36:00,False
MASS1485,LAPTOP I5 10MA GENERACION,1.0,1,2025-01-20 07:04:00,2025-01-20 07:04:00,False
MASS0296,MEMORIA RAM LAPTOP KINGSTON DDR2 2GB 800,0.0,2,2026-06-05 09:41:00,2026-06-09 09:50:00,False
MASS0309,MEMORIA SD KINGSTON 128GB,0.0,2,2024-12-13 10:28:00,2024-12-18 15:10:00,False
