unique_id,paso_horizonte,demanda_proyectada,p10_pesimista,p90_optimista,modelo
MASS0013,2,0.013145685195922852,0.0,0.7349512577056885,TimesFM-3.0-PyTorch
MASS0013,3,0.015318870544433594,0.0,1.0951380729675293,TimesFM-3.0-PyTorch
MASS0013,4,0.01694941520690918,0.0019195079803466797,1.364999532699585,TimesFM-3.0-PyTorch
MASS0013,5,0.015371561050415039,0.0027501583099365234,2.4230685234069824,TimesFM-3.0-PyTorch
MASS0013,6,0.010985374450683594,0.0005996227264404297,3.4099574089050293,TimesFM-3.0-PyTorch
MASS0013,7,0.010029792785644531,0.0,4.397000312805176,TimesFM-3.0-PyTorch
MASS0013,8,0.005114555358886719,0.0,5.558671951293945,TimesFM-3.0-PyTorch
MASS0013,9,0.0286257266998291,0.0,6.383778095245361,TimesFM-3.0-PyTorch
MASS0013,10,0.047124266624450684,0.0,7.640797138214111,TimesFM-3.0-PyTorch
MASS0013,11,0.04127228260040283,0.0,8.227094650268555,TimesFM-3.0-PyTorch
MASS0013,12,0.05622267723083496,0.0,8.561134338378906,TimesFM-3.0-PyTorch
MASS0013,13,0.046552062034606934,0.0,8.945196151733398,TimesFM-3.0-PyTorch
MASS0013,14,0.03667616844177246,0.0,8.953611373901367,TimesFM-3.0-PyTorch
MASS0013,15,0.030974149703979492,0.0,8.779115676879883,TimesFM-3.0-PyTorch
MASS0016,1,0.0005196928977966309,0.0,0.003981843590736389,TimesFM-3.0-PyTorch
MASS0016,2,0.0,0.0,0.0016080141067504883,TimesFM-3.0-PyTorch
MASS0016,3,0.0,0.0,0.0004283338785171509,TimesFM-3.0-PyTorch
MASS0016,4,0.0005930662155151367,0.0,0.002589777112007141,TimesFM-3.0-PyTorch
MASS0016,5,0.0,0.0,0.00211159884929657,TimesFM-3.0-PyTorch
MASS0016,6,0.000731050968170166,0.0,0.0028337091207504272,TimesFM-3.0-PyTorch
MASS0016,7,0.0004370063543319702,0.0,0.003083169460296631,TimesFM-3.0-PyTorch
MASS0016,8,0.0,0.0,0.0023051947355270386,TimesFM-3.0-PyTorch
MASS0016,9,0.0,0.0,0.001780197024345398,TimesFM-3.0-PyTorch
MASS0016,10,0.0,0.0,0.0029292404651641846,TimesFM-3.0-PyTorch
MASS0016,11,0.0,0.0,0.0016668885946273804,TimesFM-3.0-PyTorch
MASS0016,12,2.8595328330993652e-05,0.0,0.002118542790412903,TimesFM-3.0-PyTorch
MASS0016,13,0.0003108978271484375,0.0,0.0020985454320907593,TimesFM-3.0-PyTorch
MASS0016,14,0.0,0.0,0.0009082108736038208,TimesFM-3.0-PyTorch
MASS0016,15,0.001097172498703003,0.0,0.002837046980857849,TimesFM-3.0-PyTorch
MASS0018,1,5.75829553604126,0.9894051551818848,27.133377075195312,TimesFM-3.0-PyTorch
MASS0018,2,2.084061622619629,0.5531134605407715,20.928157806396484,TimesFM-3.0-PyTorch
MASS0018,3,1.299882173538208,0.17293977737426758,19.865379333496094,TimesFM-3.0-PyTorch
MASS0018,4,0.8776381015777588,0.02783679962158203,19.039752960205078,TimesFM-3.0-PyTorch
