sku,demanda_semanal_prom,demanda_semanal_std,cv,n_semanas_historial,total_ventas,total_unidades,costo_unit_trans_prom,stock_actual,costo,cantidad_por_caja,CBMM,costo_final,clase_abc,clase_xyz,clase_abc_xyz,nivel_servicio,cbm_unitario,costo_flete_unitario,costo_puesto,demanda_anual,demanda_esperada_lt,rop,stock_seguridad,eoq_teorico,cajas_a_pedir,unidades_a_pedir,cbm_total_pedido,inversion_fob_usd,posicion_inventario,requiere_pedido,estado,porcentaje_contenedor
MASS2793,0.29577464788732394,1.848091721935371,6.2483101074957785,142,47.94,42.0,0.18461538461538465,30.0,0.13,432.0,0.051984,0.13,C,Z,C-Z,0.75,0.00012033333333333334,0.010228333333333334,0.14022833333333334,15.380281690140844,4.436619718309859,9.264366751181601,4.827747032871742,270.4074353383796,0,0,0.0,0.0,30.0,False,OK,0.0
MASS2792,0.2112676056338028,1.7496949517939502,8.281889438491364,142,33.83,30.0,0.16666666666666666,42.0,0.13,432.0,0.051984,0.13,C,Z,C-Z,0.75,0.00012033333333333334,0.010228333333333334,0.14022833333333334,10.985915492957746,3.169014084507042,7.739720457840014,4.570706373332972,228.53599448645778,0,0,0.0,0.0,42.0,False,OK,0.0
MASS1917,2.443661971830986,7.577986640943401,3.101078106668481,142,11733.54,347.0,15.075466666666667,248.0,11.2,1.0,0.05,11.2,AA,Z,AA-Z,0.95,0.05,4.25,15.45,127.07042253521126,36.65492957746479,84.93042302963059,48.2754934521658,74.04783506991961,0,0,0.0,0.0,248.0,False,OK,0.0
MASS1976,4.323943661971831,9.350958001344182,2.162599407476993,142,11470.75,614.0,5.955011441647597,136.0,4.8,40.0,0.0819975,4.8,AA,Z,AA-Z,0.95,0.0020499375,0.17424468750000002,4.9742446875,224.8450704225352,64.85915492957747,124.42934595186858,59.57019102229111,173.59310978541907,0,0,0.0,0.0,136.0,False,OK,0.0
MASS1885,2.767605633802817,8.498364876484695,3.070656011350704,142,11085.16,393.0,8.996342857142857,124.0,10.0,50.0,0.1090125,10.0,AA,Z,AA-Z,0.95,0.00218025,0.18532125,10.18532125,143.9154929577465,41.514084507042256,95.65283895300922,54.13875444596697,97.05564041047374,0,0,0.0,0.0,124.0,False,OK,0.0
MASS1598,1.176056338028169,2.5440775217197746,2.1632275933186107,142,557.69,167.0,0.9513157894736842,80.0,0.85,250.0,0.0882,0.85,C,Z,C-Z,0.75,0.0003528,0.029988,0.879988,61.154929577464785,17.640845070422536,24.28670715675672,6.6458620863341835,215.2443352995765,0,0,0.0,0.0,80.0,False,OK,0.0
MASS2652,3.6971830985915495,18.47366898884733,4.996687612221563,142,7950.67,525.0,6.02704918032787,473.0,4.85,30.0,0.09588,4.85,AA,Z,AA-Z,0.95,0.003196,0.27166,5.121659999999999,192.25352112676057,55.45774647887324,173.14408304353526,117.68633656466201,158.19259471463496,0,0,0.0,0.0,473.0,False,OK,0.0
MASS1989,1.7112676056338028,7.264585217462869,4.2451485632910595,142,7937.57,243.0,17.72,111.0,11.2,1.0,0.0139392,11.2,AA,Z,AA-Z,0.95,0.0139392,1.184832,12.384832,88.98591549295774,25.66901408450704,71.9479866817284,46.278972597221355,69.21017494351287,0,0,0.0,0.0,111.0,False,OK,0.0
MASS2059,3.5492957746478875,12.032212948444672,3.3900282513475064,142,7803.1,504.0,5.294148936170213,392.0,4.6,50.0,0.048544,4.6,AA,Z,AA-Z,0.95,0.0009708799999999999,0.0825248,4.6825247999999995,184.56338028169014,53.23943661971831,129.8905373579208,76.6511007382025,162.10152300182656,0,0,0.0,0.0,392.0,False,OK,0.0
MASS3056,0.08450704225352113,0.43748082424405826,5.176856420221356,142,41.92,12.0,1.1,548.0,1.1,70.0,0.05,1.1,C,Z,C-Z,0.75,0.0007142857142857143,0.060714285714285714,1.1607142857142858,4.394366197183098,1.267605633802817,2.4104313529563797,1.1428257191535627,50.238866049820736,0,0,0.0,0.0,548.0,False,OK,0.0
MASS2794,0.29577464788732394,2.133118558762192,7.211972270100745,142,40.85,42.0,0.18095238095238098,30.0,0.13,432.0,0.051984,0.13,C,Z,C-Z,0.75,0.00012033333333333334,0.010228333333333334,0.14022833333333334,15.380281690140844,4.436619718309859,10.008938814054368,5.572319095744509,270.4074353383796,0,0,0.0,0.0,30.0,False,OK,0.0
MASS2449,0.014084507042253521,0.11825657242363519,8.396216642078098,142,40.190000000000005,2.0,5.365,9.0,,1.0,0.05,5.365,C,Z,C-Z,0.75,0.05,4.25,9.615,0.7323943661971831,0.2112676056338028,0.520187779811041,0.3089201741772382,7.126105105733694,0,0,0.0,0.0,9.0,False,OK,0.0
MASS2717,0.07746478873239436,0.6952110109996844,8.974542141995927,142,39.4,11.0,2.11,14.0,2.0,350.0,0.068172,2.0,C,Z,C-Z,0.75,0.00019477714285714285,0.016556057142857142,2.016556057142857,4.028169014084507,1.1619718309859155,2.978062913336893,1.8160910823509777,36.49245348002241,0,0,0.0,0.0,14.0,False,OK,0.0
MASS0965,0.04929577464788732,0.21725119587629282,4.407095687776226,142,38.83,7.0,1.31,9.0,,1.0,0.05,1.31,C,Z,C-Z,0.75,0.05,4.25,5.5600000000000005,2.5633802816901405,0.7394366197183098,1.3069592182077632,0.5675225984894534,17.531678356792085,0,0,0.0,0.0,9.0,False,OK,0.0
MASS1407,8.04225352112676,25.648434135615965,3.1892098487368363,142,10328.12,1142.0,4.541625,461.0,2.35,1.0,0.05,2.35,AA,Z,AA-Z,0.95,0.05,4.25,6.6,418.1971830985915,120.63380281690141,284.0269140533827,163.3931112364813,205.52892669142327,0,0,0.0,0.0,461.0,False,OK,0.0
MASS1841,4.204225352112676,15.892608894727486,3.7801515293991677,142,7266.26,597.0,5.924516129032258,238.0,5.0,10.0,0.17496,5.0,AA,Z,AA-Z,0.95,0.017496,1.48716,6.48716,218.61971830985914,63.063380281690144,164.30709750995584,101.2437172282657,149.88967946964155,0,0,0.0,0.0,238.0,False,OK,0.0
MASS1474,1.5845070422535212,3.2403549357869936,2.0450240039189027,142,1352.73,225.0,3.573571428571429,80.0,2.8,40.0,0.051578,2.8,B,Z,B-Z,0.85,0.00128945,0.10960325,2.90960325,82.3943661971831,23.76760563380282,36.774679570291624,13.007073936488805,137.39984493044867,0,0,0.0,0.0,80.0,False,OK,0.0
MASS2399,0.795774647887324,4.4507370214339375,5.592961566757691,142,1050.35,113.0,4.612666666666667,256.0,4.5,10.0,0.05,4.5,B,Z,B-Z,0.85,0.005,0.425,4.925,41.38028169014085,11.93661971830986,29.802275381614233,17.865655663304373,74.84244630252932,0,0,0.0,0.0,256.0,False,OK,0.0
MASS2104,0.5070422535211268,2.3782301031931063,4.690398259075293,142,1039.59,72.0,6.908695652173913,19.0,6.95,100.0,0.030336,6.95,B,Z,B-Z,0.85,0.00030335999999999997,0.0257856,6.9757856,26.366197183098592,7.605633802816901,17.15206171062977,9.54642790781287,50.1974384920176,0,0,0.0,0.0,19.0,False,OK,0.0
MASS2327,0.9366197183098591,6.251484690302265,6.674517488894147,142,1038.04,133.0,4.215483870967742,113.0,3.68,50.0,0.052668,3.68,B,Z,B-Z,0.85,0.00105336,0.08953559999999999,3.7695356,48.70422535211267,14.049295774647886,39.14331331005733,25.094017535409442,92.80978486726774,0,0,0.0,0.0,113.0,False,OK,0.0
MASS1662,2.612676056338028,5.583471798705566,2.137070068507252,142,1035.6,371.0,0.9846376811594203,232.0,0.8,288.0,0.05,0.8,B,Z,B-Z,0.85,0.00017361111111111112,0.014756944444444446,0.8147569444444445,135.85915492957747,39.19014084507042,61.60269500880893,22.412554163738513,333.4147352259575,0,0,0.0,0.0,232.0,False,OK,0.0
MASS2597,0.8943661971830986,4.370610659702763,4.8868245171479705,142,1032.09,127.0,2.048448275862069,293.0,2.5,100.0,0.0825,2.5,B,Z,B-Z,0.85,0.000825,0.07012499999999999,2.570125,46.50704225352113,13.41549295774648,30.95951425322623,17.54402129547975,109.83395125230847,0,0,0.0,0.0,293.0,False,OK,0.0
