Codigo Articulo,cuadrante,clase_abc,nivel_servicio,stock_actual,rop,demanda_esperada_lt,ss_empirico,mu_incondicional,mu_sba,adi,cv2,n_pos,n_semanas_historia,weeks_history,cajas_a_pedir,unidades_a_pedir,cbm_total_pedido,inversion_fob_usd,costo_final,cantidad_por_caja,CBMM,estado,requiere_pedido
MASS2784,intermittent,C,0.85,64.0,20.0,20.0,0.0,,1.3333333333333333,1.5,0.0,2,3,2.7142857142857144,0,0,0.0,0.0,1.0,1.0,0.05,OK,False
MASS0212,sin_datos,C,0.85,0.0,0.0,0.0,0.0,,0.0,inf,,0,135,134.42857142857142,1,1,0.05,1.0,1.0,1.0,0.05,REORDENAR,True
MASS2270,lumpy,C,0.85,0.0,4.066071428571428,4.066071428571428,0.0,,0.2710714285714285,3.0,2.1695,14,42,41.142857142857146,1,1,0.05,1.0,1.0,1.0,0.05,REORDENAR,True
MASS0967,lumpy,C,0.85,0.0,1.0081730769230766,1.0081730769230766,0.0,,0.06721153846153843,5.2,0.5325,10,78,77.28571428571429,1,1,0.05,1.0,1.0,1.0,0.05,REORDENAR,True
MASS1385,sin_datos,C,0.85,0.0,0.0,0.0,0.0,,0.0,inf,,0,99,98.42857142857143,1,1,0.05,1.0,1.0,1.0,0.05,REORDENAR,True
MASS2267,lumpy,C,0.85,0.0,4.703571428571427,4.703571428571427,0.0,,0.3135714285714285,3.0,2.0415,14,42,41.142857142857146,1,1,0.05,1.0,1.0,1.0,0.05,REORDENAR,True
MASS2269,lumpy,C,0.85,0.0,3.1821428571428534,3.1821428571428534,0.0,,0.21214285714285688,2.211,2.7618,19,42,41.142857142857146,1,1,0.05,1.0,1.0,1.0,0.05,REORDENAR,True
MASS2111,lumpy,C,0.85,222.0,19.18928571428571,19.18928571428571,0.0,,1.279285714285714,3.5,4.6612,12,42,41.142857142857146,0,0,0.0,0.0,0.22,100.0,0.0432,OK,False
MASS1516,sin_datos,C,0.85,0.0,0.0,0.0,0.0,,0.0,inf,,0,129,128.42857142857142,1,1,0.05,1.0,1.0,1.0,0.05,REORDENAR,True
MASS2596,lumpy,C,0.85,49.0,38.10882352941176,38.10882352941176,0.0,,2.540588235294117,2.429,2.2401,7,17,16.714285714285715,0,0,0.0,0.0,0.68,200.0,0.11628,OK,False
